    2 3.271061e-06
   12 6.402125e-05
   22 1.243040e-04
   32 1.834356e-04
   42 2.394968e-04
   52 2.910713e-04
   62 3.374863e-04
   72 3.777326e-04
   82 4.107416e-04
   92 4.362408e-04
  102 9.080137e-04
  132 1.394710e-03
  162 1.304803e-03
  192 1.224303e-03
  222 1.279157e-03
  252 1.521791e-03
  282 1.896962e-03
  312 2.270965e-03
  342 2.501199e-03
  372 2.506126e-03
  402 2.292958e-03
  432 1.950666e-03
  462 1.615907e-03
  492 1.427190e-03
  522 1.473965e-03
  552 3.816185e-03
  652 9.915566e-03
  752 7.020387e-03
  852 5.024635e-03
  952 6.404519e-03
 1052 4.064604e-03
 1152 4.630924e-03
 1452 2.718497e-03
 1752 6.868572e-04
 2052 2.743284e-03
 2352 4.971734e-03
 2500 3.255232e-03
