  1.73   -0.18622E-04    0.13638E-03    0.49348E-04    0.25990E-04    0.15211E-04    0.24436E-04    0.76701E-05   -0.42831E-04    0.18689E-03    0.53542E-05    0.86471E-04    0.73452E-04    0.15572E-03    0.40901E-04    0.66868E-04    0.11026E-05    0.91193E-04    0.12853E-03    0.78365E-04    0.17936E-03   -0.20149E-04
  3.75   -0.77329E-05    0.12850E-04    0.81008E-05    0.23062E-04    0.50042E-04    0.44496E-04    0.10166E-04    0.20446E-04    0.35648E-04    0.24668E-04    0.22140E-04    0.29534E-04    0.29307E-04    0.35008E-04    0.32282E-04    0.44967E-04    0.77792E-04    0.60910E-04    0.91657E-04    0.92859E-04    0.76403E-04
  8.13    0.18039E-04    0.27120E-04    0.81040E-06    0.70943E-05    0.70198E-05    0.23915E-04    0.18658E-04    0.23751E-04    0.34618E-04    0.84975E-05    0.14277E-04    0.23324E-04    0.24507E-04    0.16668E-04    0.65984E-05    0.39378E-05    0.39092E-04    0.31352E-04    0.10901E-04    0.30384E-04    0.45556E-04
 17.60    0.51143E-05    0.44769E-05    0.23727E-05   -0.17614E-05   -0.10460E-04    0.51966E-05   -0.41575E-05    0.11776E-04   -0.17777E-05    0.83904E-05    0.39974E-05    0.49600E-05    0.64271E-06    0.72428E-05    0.14825E-04    0.84271E-05    0.11193E-04    0.57643E-05    0.25305E-04    0.24550E-04    0.19770E-04
 37.90   -0.12638E-05    0.22226E-05    0.36352E-05    0.16795E-05    0.21956E-05    0.59150E-05    0.44997E-05    0.20163E-05   -0.18710E-05    0.19108E-05    0.39748E-05    0.50989E-05    0.29588E-05    0.55277E-05    0.65433E-05    0.40946E-05    0.49299E-05    0.21567E-05    0.68924E-05    0.95659E-05    0.10729E-04
  1.73   -0.16566E-04    0.19330E-04   -0.10354E-04   -0.41921E-05    0.51237E-04    0.21839E-04   -0.39385E-04   -0.15617E-04   -0.29086E-04    0.61364E-04   -0.10006E-03    0.49503E-04   -0.79313E-05    0.18432E-04   -0.16797E-04   -0.95111E-05   -0.56785E-04    0.14759E-04    0.10207E-03    0.11179E-04    0.90400E-05
  3.75   -0.16314E-04   -0.77364E-05    0.14314E-04    0.43065E-04   -0.13551E-04    0.13825E-04    0.25974E-04    0.40636E-04   -0.88521E-05    0.38399E-04   -0.15658E-04    0.21701E-04    0.29976E-04   -0.18830E-04    0.21237E-05    0.25935E-04    0.15417E-04    0.68303E-04   -0.52204E-05   -0.50451E-06    0.43949E-04
  8.13    0.12628E-04    0.14990E-05   -0.12887E-04    0.12034E-04    0.88279E-05   -0.73479E-06    0.29059E-04   -0.76840E-05    0.14441E-04   -0.58829E-05    0.11594E-04    0.31717E-04    0.28112E-04    0.18470E-05    0.60273E-05   -0.19257E-05    0.24044E-04    0.21263E-04    0.13129E-04   -0.13959E-05    0.11173E-04
 17.60   -0.80060E-06   -0.40728E-06   -0.32598E-05    0.13100E-05    0.69505E-05    0.81517E-05    0.31651E-05    0.15510E-04    0.11056E-04    0.13792E-04    0.72365E-05    0.18111E-05    0.10226E-04    0.10636E-05   -0.30999E-05    0.82017E-05    0.13861E-04    0.52369E-05    0.16017E-04    0.16086E-04    0.15949E-04
 37.90    0.11008E-05    0.35391E-05    0.29334E-05    0.11641E-05    0.61393E-05    0.50448E-05    0.16002E-05    0.17168E-05   -0.48922E-05    0.13194E-05    0.46001E-05    0.24436E-05    0.60449E-05    0.48473E-05    0.46846E-05    0.32259E-05    0.46460E-05    0.77118E-05    0.34169E-05    0.66328E-05    0.98113E-05
