    2 8.927055e-06
   12 1.739617e-04
   22 3.403679e-04
   32 5.048942e-04
   42 6.664931e-04
   52 8.222365e-04
   62 9.731462e-04
   72 1.118075e-03
   82 1.256092e-03
   92 1.386679e-03
  102 3.018754e-03
  132 5.500146e-03
  162 6.286648e-03
  192 6.926341e-03
  222 7.469900e-03
  252 7.968373e-03
  282 8.455631e-03
  312 8.943384e-03
  342 9.415884e-03
  372 9.839832e-03
  402 1.018101e-02
  432 1.041136e-02
  462 1.051498e-02
  492 1.048484e-02
  522 1.033079e-02
  552 2.183386e-02
  652 2.980186e-02
  752 2.585455e-02
  852 2.193443e-02
  952 1.888431e-02
 1052 1.651903e-02
 1152 2.711637e-02
 1452 2.885704e-02
 1752 1.436810e-02
 2052 2.472960e-02
 2352 3.507906e-02
 2500 2.573177e-02
