    2 6.145670e-06
   12 1.189731e-04
   22 2.289414e-04
   32 3.308591e-04
   42 4.215013e-04
   52 4.968084e-04
   62 5.562904e-04
   72 5.984714e-04
   82 6.230948e-04
   92 6.306165e-04
  102 1.245645e-03
  132 1.578200e-03
  162 1.117720e-03
  192 6.935428e-04
  222 4.728685e-04
  252 5.422338e-04
  282 8.719074e-04
  312 1.320611e-03
  342 1.692292e-03
  372 1.835168e-03
  402 1.704132e-03
  432 1.366339e-03
  462 9.570701e-04
  492 6.274043e-04
  522 5.019675e-04
  552 1.388182e-03
  652 6.277444e-03
  752 4.307048e-03
  852 2.222736e-03
  952 4.028544e-03
 1052 2.660916e-03
 1152 2.201811e-03
 1452 1.174339e-03
 1752 1.803052e-04
 2052 1.536098e-03
 2352 2.879814e-03
 2500 1.577213e-03
