1993ag	0.050043	36.7730018543	0.153148680782
1993o	0.052926	36.8241423261	0.148454214927
1993h	0.02513	35.1678175291	0.165420933733
1993b	0.070086	37.567740156	0.15403068043
1992bs	0.062668	37.5515804571	0.145317136417
1992br	0.087589	38.1915656352	0.159495013964
1992bp	0.078577	37.5212710132	0.147429338762
1992bo	0.017227	34.6546665523	0.1880259565
1992bl	0.042233	36.3586532798	0.152312134352
1992bh	0.045295	36.6566139461	0.148758275509
1992bc	0.019599	34.5182384466	0.179081303451
1992aq	0.100915	38.5088119689	0.145279087383
1992ag	0.027342	35.2300574166	0.171939536277
1992ae	0.074605	37.6663645268	0.147931348064
1992p	0.026489	35.5199700817	0.182864910719
1990af	0.049922	36.6999653546	0.146530609404
1990o	0.030604	35.5404531616	0.161624590233
2001cz	0.016345641	34.0924538801	0.144775220876
2001cn	0.0154363	34.0329851021	0.150597548663
2001ba	0.030529	35.5818149937	0.0920067053122
2000ca	0.024525	34.9577174302	0.109085696057
2000bh	0.023953	34.935520479	0.115625212493
1999gp	0.026038	35.3566237332	0.106784897071
1993ac	0.048948	36.6391120177	0.1766982111
1994m	0.024314	35.0794913195	0.18643839963
1994s	0.015166	34.2041114924	0.225518080121
1994t	0.03572	36.1050539158	0.188094161827
1995ac	0.048818	36.3507343053	0.166961986591
1995ak	0.0219800059146	34.8811235819	0.196258768364
1996c	0.0275	35.6735856723	0.181507304221
1996ab	0.1244	38.9521645786	0.168017789501
1996bl	0.036	35.8260342723	0.173778570484
1996bv	0.01673	34.1592687583	0.209352704395
1996bo	0.016321	34.1144805357	0.209884301455
2000fa	0.021793	34.9048499767	0.282608881266
2000dk	0.01645	34.1818298266	0.292212075551
2000cn	0.023208	35.117280195	0.276622195571
2000cf	0.036457	36.1142750974	0.267250650207
1999gd	0.019264	35.1559953619	0.285695464272
1999ek	0.017605	34.3943547917	0.308882749558
1999cc	0.031528	35.7346061594	0.270713039098
1998eg	0.023536	35.1870287376	0.278885118559
1998ef	0.016743	33.8878121745	0.292567467485
1998dx	0.05371	36.4559044522	0.268351164818
1998co	0.016991	34.2677976869	0.290910806654
1998ab	0.027865	35.0340198507	0.273008042132
1998v	0.017173	34.1860410198	0.293258906218
1997dg	0.029955	35.9589514911	0.273866480307
1997y	0.016559	34.3764044862	0.292368203484
1999aa	0.015	34.0959952821	0.145904476604
1999ao	0.0544	36.9686138698	0.0771934613908
1999ar	0.1561	39.294455039	0.0599663857105
1999aw	0.0393	36.3055280023	0.0717497761757
1999bi	0.1241	38.8100134766	0.0715971658275
1999bm	0.1441	39.0528219919	0.0634435595707
1999bn	0.1299	38.9956124177	0.0631822941145
1999bp	0.0784	37.7810061412	0.0681153647931
1996h	0.62	43.2066240148	0.374321656282
1996i	0.57	42.6299495836	0.329397155099
1996j	0.3	40.9068557079	0.322661461524
1996k	0.38	41.981448045	0.294675002057
1996u	0.43	42.2865323661	0.353944288913
1995ao	0.24	40.92039446	0.604691512396
1995ap	0.3	40.152454556	0.463180764839
1996t	0.24	40.8941528415	0.281508606621
1997ce	0.44	42.0189541221	0.290912412354
1997cj	0.5	42.4251183643	0.285032220696
1997ck	0.97	43.0841865629	0.742582169563
1995k	0.479	42.2593258058	0.305353355969
1997ap	0.83	43.4934896902	0.372098016098
1997am	0.416	42.042208973	0.43961209764
1997aj	0.581	41.9804788609	0.422581723678
1997ai	0.45	41.7965293235	0.367900106831
1997af	0.579	43.1102730617	0.562403228541
1997ac	0.32	41.1885505108	0.339690792497
1997r	0.657	43.0812935967	0.549444460563
1997p	0.472	42.0990717933	0.469994746225
1997o	0.374	43.1153409984	0.694417590782
1997h	0.526	42.013309316	0.402473462081
1997g	0.763	44.3657126034	0.885466302481
1997f	0.58	42.9398798711	0.395142768132
1996cn	0.43	41.8899803061	0.393293335469
1996cm	0.45	42.2825129374	0.422650328365
1996cl	0.828	44.203018183	0.611918160502
1996ck	0.656	43.181554143	0.528708119909
1996ci	0.495	42.1205013485	0.39827409355
1996cg	0.49	41.8217131258	0.355251221615
1996cf	0.57	42.742574543	0.395438890913
1995ba	0.388	42.0969738461	0.370734294336
1995az	0.45	42.2128189449	0.377256221564
1995ay	0.48	42.1266258961	0.403490417945
1995ax	0.615	42.6108744805	0.520864721236
1995aw	0.4	42.1077687105	0.382043588034
1995at	0.655	42.3305104738	0.496246176513
1995as	0.498	43.0296153325	0.451179870261
1995ar	0.465	41.8375675989	0.677740680801
1995aq	0.453	42.6855854693	0.388547543287
1994g	0.425	41.3010835176	0.366453610612
1999fw	0.278	40.6729770427	0.205733686158
1999fn	0.477	42.0071669413	0.149503540949
1999fm	0.95	43.6972613338	0.274437861244
1999fk	1.057	44.0787405468	0.211584422417
1999fj	0.816	43.7951226482	0.423980625959
1999ff	0.455	42.3522141356	0.239111591348
2002ad	0.514	42.4275455763	0.427580299971
2002ab	0.423	41.6141933692	0.239548120652
2002aa	0.946	43.1597477534	0.806741116211
2002x	0.859	44.022811801	0.304111603744
2002w	1.031	42.1761580597	1.28660173268
2001kd	0.936	44.148887081	0.518330924179
2001jp	0.528	42.3528772215	0.240748040733
2001jn	0.645	44.0353749092	0.964152598465
2001jm	0.978	43.6526492518	0.312966122482
2001jh	0.885	44.1789952676	0.466461712419
2001jf	0.815	44.1347089556	0.919484299622
2001iy	0.568	42.5610152006	0.293309253351
2001ix	0.711	43.2491247935	0.248908077637
2001iw	0.3396	41.1022712766	0.259553392222
2001iv	0.3965	41.4084095732	0.240552944224
2001hy	0.812	43.8133209255	0.282936944717
2001hx	0.799	43.1683351205	0.27444888856
2001hu	0.882	42.9333230617	0.324847417172
2001hs	0.833	43.407367536	0.347349605053
2001fs	0.874	43.3865810553	0.462308366531
2001fo	0.772	43.4354874701	0.263416996827
2000fr	0.543	42.3919207564	0.135200439255
1998bi	0.75	43.167266596	0.135523948437
1998be	0.64	42.7302552042	0.225082191179
