1993ah	0.028488	35.3355510594	0.226143925635
1993ag	0.050043	36.6754415683	0.167114251513
1993o	0.052926	36.8168806729	0.155866408242
1993b	0.070086	37.4403208027	0.158669048234
1992bs	0.062668	37.4803312569	0.156270379521
1992br	0.087589	38.2312880884	0.189597973592
1992bp	0.078577	37.4880153326	0.155790553548
1992bo	0.017227	34.6528548205	0.199535140164
1992bl	0.042233	36.3351409577	0.167648033398
1992bh	0.045295	36.6329198059	0.165271499987
1992bg	0.03648	35.9028802813	0.170400148449
1992bc	0.019599	34.5849105142	0.184736519598
1992aq	0.100915	38.4564792878	0.167818465426
1992ag	0.027342	35.0742634622	0.175738040875
1992ae	0.074605	37.5857951062	0.160110641392
1992p	0.026489	35.4739511994	0.19147874559
1990af	0.049922	36.5637135925	0.162480236617
1990o	0.030604	35.5474875749	0.173537588946
2001cz	0.016345641	34.0357608093	0.14402997371
2001cn	0.0154363	33.9288622487	0.149773066605
2001ba	0.030529	35.5987234724	0.0905547451176
2000ca	0.024525	35.0588114943	0.10395529982
2000bh	0.023953	34.9628931602	0.108670309216
1999gp	0.026038	35.3604256119	0.110164462529
1993ac	0.048948	36.7224923466	0.175878781605
1994m	0.024314	35.0989067311	0.184772695826
1994s	0.015166	34.0945752677	0.21780640315
1994t	0.03572	35.9784201813	0.17455423199
1995ac	0.048818	36.3736376383	0.163660035553
1995ak	0.0219800059146	34.8477997627	0.190634594378
1996c	0.0275	35.6443099344	0.179523627555
1996ab	0.1244	39.0474440635	0.167742220247
1996bl	0.036	35.8166920463	0.171121785922
1996bv	0.01673	34.2137334689	0.212053128352
1996bo	0.016321	33.9968666808	0.207622958381
2000fa	0.021793	34.9662747364	0.231469837469
2000dk	0.01645	34.1782747061	0.250007930671
2000cn	0.023208	35.0760231692	0.230453431037
2000cf	0.036457	36.1310606977	0.216601021623
1999gd	0.019264	34.9290818261	0.239750047895
1999ek	0.017605	34.3341878854	0.270777214079
1999cc	0.031528	35.7209576638	0.224419994663
1998eg	0.023536	35.1655185904	0.233717264297
1998ef	0.016743	34.0023106368	0.247451826306
1998dx	0.05371	36.47359007	0.220796341332
1998co	0.016991	34.3727214476	0.308392297269
1998ab	0.027865	35.079691262	0.221390433935
1998v	0.017173	34.2567548437	0.247302669853
1997dg	0.029955	35.9695297947	0.223360506658
1997y	0.016559	34.3359548469	0.25040542174
1999aa	0.015	34.1611242178	0.160930618134
1999ao	0.0544	36.9482868597	0.0851859276563
1999ar	0.1561	39.227736887	0.0831803243516
1999aw	0.0393	36.3296338828	0.0983616480332
1999bi	0.1241	38.8089373233	0.110959981085
1999bm	0.1441	38.8286718588	0.156387993518
1999bn	0.1299	38.9767208561	0.129040616704
1999bp	0.0784	37.6784334873	0.0863760987398
2001ah	0.0583	37.0227081887	0.199697931638
2001ay	0.0309	35.9151154293	0.176677068679
2001az	0.0406	36.3635574234	0.164649900237
2001bf	0.0152	34.0128062018	0.209050001205
2001cp	0.0224	34.9604436109	0.232580853069
2001da	0.016	34.1665118574	0.215338744788
