#       keff          klo          khi           obs             sdev      b_dummy       
#
     0.01195    0.00815      0.01701     124883.82400   18774.85800     1.   
     0.01545    0.01310      0.01862     118813.83900   29400.48489     1.
     0.01801    0.01565      0.02154     134291.34700   21637.82259     1.
     0.02074    0.01808      0.02463      58643.84640   16647.46553     1. 
     0.02391    0.02096      0.02819     105253.02400   12735.60872     1.
     0.02758    0.02437      0.03230      77699.34110    9665.63303     1.
     0.03183    0.02833      0.03704      57869.76000    7264.36793     1.
     0.03673    0.03293      0.0425       56516.36880    5465.98239     1.
     0.04251    0.03619      0.05024      50125.07240    3990.95328	1.
     0.04907    0.04225      0.05755      45076.44790    2955.53102	1.
     0.05661    0.04925      0.06593      39338.98810    2214.14435	1.
     0.06525    0.05716      0.07552      39608.57250    1679.18449	1.
     0.07513    0.06592      0.08646      31566.10850    1284.27147	1.
     0.08654    0.07579      0.09896      24837.11220     990.70906	1.
     0.09980    0.08741      0.11295      21389.94570     778.47437	1.
     0.11510    0.10138      0.12815      17506.69780     629.04350	1.
     0.13267    0.11736      0.14487      15421.34260     515.84206	1.
     0.15306    0.13619      0.16517      12399.48450     430.42814	1.
     0.17664    0.15866      0.18996      11237.19080     381.93639	1.
     0.20345    0.18152      0.21867       9345.02830     384.47521	1.
