# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    20    15.26  1.33520e-07  2.526e-08   1.074
    2    21    39    30.98  1.48620e-07  1.481e-08   1.058
    3    40    65    53.12  1.43020e-07  1.023e-08   1.066
    4    66   100    83.02  1.16470e-07  6.140e-09   1.018
    5   101   144   121.52  8.71800e-08  4.700e-09   0.965
    6   145   198   169.17  6.13700e-08  4.369e-09   0.894
    7   199   263   227.53  4.64500e-08  4.034e-09   0.906
    8   264   338   298.39  4.20000e-08  3.625e-09   1.101
    9   339   425   381.17  2.82000e-08  3.781e-09   0.991
   10   426   525   473.45  2.02400e-08  3.078e-09   0.949
   11   526   637   577.24  1.30800e-08  2.990e-09   0.815
   12   638   762   697.07  5.49000e-09  2.805e-09   0.454
   13   763   901   827.58  7.24000e-09  2.604e-09   0.775
   14   902  2048  1202.37  3.61000e-09  1.574e-09   0.697
