   1.338921      8.7628221E-05	9.8267468E-05	1.1694092E-04
   2.183053      8.9936162E-05 	6.0021546E-05	9.5219992E-05
   3.558354      3.7361202E-05 	4.3010328E-05	7.5957112E-05
   5.800083      1.7959370E-05 	2.5314430E-05	5.0354076E-05
   9.462753      9.0595067E-06 	1.3392836E-05	2.5785221E-05
   15.41868      5.2213422E-06 	1.1754332E-05	2.1762122E-05
   25.10137      6.4220612E-06 	6.3917964E-06	1.6471484E-05
   40.83213      4.4516796E-06 	3.3420288E-06	6.4375622E-06
   1.338921     -2.0547989E-06 	9.6181902E-06	1.2610337E-05
   2.183053     -4.8286620E-06 	1.4517457E-06	4.4798668E-05
   3.558354      3.4866058E-05 	2.2584245E-05	8.8053239E-06
   5.800083      1.4982229E-05 	1.0901714E-05	6.6677044E-06
   9.462753      1.1480648E-05 	1.2906698E-05	1.2170701E-05
   15.41868      8.9105097E-06 	9.3515882E-06	1.6474123E-05
   25.10137      3.5086682E-06 	5.0853737E-06	6.8536997E-06
   40.83213      2.3877537E-06 	3.9023553E-06	5.3149734E-06
