# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin6_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #6 (ell~213.7)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   3.79e-10   -6.68e-11   3.25e-10   3.33e-10
  3   7.31e-10   -8.22e-11   7.99e-10   3.97e-10
  4   1.08e-09   -1.44e-10   2.37e-09   3.52e-10
  5   1.31e-09   -3.72e-10   7.33e-09   4.01e-10
  6   1.70e-09   -6.11e-10   2.24e-08   6.52e-10
  7   2.09e-09   -1.24e-09   6.58e-08   9.26e-10
  8   2.65e-09   -2.11e-09   1.26e-07   1.62e-09
  9   2.94e-09   -2.83e-09   1.90e-07   2.65e-09
 10   5.55e-09   -6.12e-09   4.38e-07   8.00e-09
 11   7.44e-09   -8.62e-09   8.18e-07   2.32e-08
 12   1.24e-08   -1.18e-08   1.05e-06   6.19e-08
 13   1.82e-08   -2.02e-08   1.81e-06   1.45e-07
 14   2.33e-08   -2.85e-08   2.77e-06   2.88e-07
 15   2.91e-08   -2.59e-08   3.43e-06   4.94e-07
 16   4.73e-08   -4.52e-08   6.17e-06   7.55e-07
 17   5.27e-08   -4.73e-08   7.99e-06   1.33e-06
 18   6.30e-08   -4.88e-08   9.79e-06   2.48e-06
 19   6.77e-08   -4.62e-08   1.04e-05   5.05e-06
 20   7.68e-08   -5.63e-08   1.42e-05   8.03e-06
 21   9.58e-08   -8.58e-08   2.19e-05   8.73e-06
 22   9.82e-08   -8.90e-08   2.16e-05   1.00e-05
 23   1.14e-07   -8.59e-08   2.79e-05   1.85e-05
 24   1.39e-07   -9.74e-08   3.35e-05   2.22e-05
 25   1.20e-07   -1.12e-07   3.89e-05   3.43e-05
 26   1.58e-07   -1.63e-07   4.86e-05   4.11e-05
 27   1.90e-07   -1.75e-07   6.27e-05   5.79e-05
 28   1.88e-07   -1.90e-07   5.16e-05   7.43e-05
 29   2.13e-07   -2.24e-07   5.98e-05   7.00e-05
 30   2.16e-07   -1.87e-07   7.35e-05   1.06e-04
 31   2.36e-07   -1.42e-07   7.48e-05   1.09e-04
 32   2.70e-07   -1.41e-07   7.96e-05   1.47e-04
 33   2.84e-07   -2.29e-07   9.88e-05   1.69e-04
 34   2.77e-07   -1.38e-07   8.16e-05   1.92e-04
 35   3.25e-07   -8.90e-08   8.46e-05   2.29e-04
 36   3.72e-07   -1.17e-07   1.18e-04   2.38e-04
 37   3.35e-07   -7.88e-08   9.42e-05   2.08e-04
 38   3.98e-07   4.39e-08   1.35e-04   3.12e-04
 39   3.53e-07   5.90e-08   1.19e-04   2.72e-04
 40   4.26e-07   3.88e-09   1.37e-04   3.26e-04
 41   3.86e-07   9.87e-08   1.40e-04   3.13e-04
 42   4.38e-07   -3.65e-08   1.39e-04   3.03e-04
 43   4.70e-07   8.57e-08   1.44e-04   3.89e-04
 44   4.93e-07   2.10e-07   1.58e-04   3.45e-04
 45   5.31e-07   2.24e-07   1.58e-04   3.76e-04
 46   5.63e-07   2.02e-07   1.53e-04   4.24e-04
 47   5.76e-07   2.10e-07   1.59e-04   4.47e-04
 48   5.86e-07   2.04e-07   1.65e-04   3.25e-04
 49   6.11e-07   1.44e-07   1.62e-04   3.79e-04
 50   6.24e-07   9.32e-08   1.51e-04   3.81e-04
 51   6.07e-07   1.06e-07   1.38e-04   3.85e-04
 52   6.20e-07   8.65e-08   1.38e-04   3.58e-04
 53   6.98e-07   6.14e-09   1.52e-04   3.57e-04
 54   7.25e-07   5.17e-08   1.38e-04   3.85e-04
 55   6.66e-07   -1.50e-08   1.23e-04   3.48e-04
 56   7.16e-07   1.67e-08   1.39e-04   4.43e-04
 57   7.63e-07   -1.22e-07   1.38e-04   3.73e-04
 58   7.60e-07   1.25e-07   1.41e-04   3.99e-04
 59   7.53e-07   -8.28e-09   1.46e-04   3.67e-04
 60   7.90e-07   1.56e-07   1.50e-04   3.97e-04
 61   8.03e-07   8.56e-08   1.40e-04   3.60e-04
 62   8.01e-07   1.03e-08   1.24e-04   3.70e-04
 63   8.18e-07   2.09e-07   1.17e-04   3.89e-04
 64   8.65e-07   1.70e-07   1.33e-04   3.57e-04
 65   9.08e-07   2.27e-07   1.38e-04   3.59e-04
 66   9.48e-07   3.41e-07   1.28e-04   3.66e-04
 67   9.89e-07   3.64e-07   1.13e-04   3.50e-04
 68   1.00e-06   3.89e-07   1.06e-04   3.76e-04
 69   9.75e-07   5.03e-07   1.12e-04   3.12e-04
 70   9.56e-07   5.33e-07   1.17e-04   3.65e-04
 71   1.00e-06   4.29e-07   1.09e-04   3.47e-04
 72   1.08e-06   5.33e-07   1.07e-04   3.84e-04
 73   1.06e-06   3.82e-07   1.07e-04   3.71e-04
 74   1.11e-06   4.89e-07   1.10e-04   3.74e-04
 75   1.09e-06   5.27e-07   1.12e-04   3.21e-04
 76   1.20e-06   4.84e-07   1.14e-04   3.25e-04
 77   1.22e-06   4.90e-07   1.23e-04   3.60e-04
 78   1.19e-06   6.58e-07   1.12e-04   3.32e-04
 79   1.24e-06   6.01e-07   1.10e-04   3.47e-04
 80   1.32e-06   6.16e-07   1.05e-04   3.38e-04
 81   1.37e-06   6.27e-07   1.06e-04   3.61e-04
 82   1.46e-06   7.04e-07   1.16e-04   3.47e-04
 83   1.41e-06   6.98e-07   1.03e-04   3.36e-04
 84   1.47e-06   6.68e-07   1.01e-04   3.71e-04
 85   1.53e-06   8.85e-07   1.01e-04   3.49e-04
 86   1.69e-06   8.47e-07   1.07e-04   3.72e-04
 87   1.77e-06   9.28e-07   1.03e-04   4.08e-04
 88   1.73e-06   1.01e-06   1.00e-04   3.55e-04
 89   1.83e-06   9.69e-07   1.02e-04   3.59e-04
 90   2.00e-06   1.04e-06   1.13e-04   3.93e-04
 91   1.85e-06   1.19e-06   1.01e-04   3.60e-04
 92   1.97e-06   1.02e-06   8.90e-05   3.62e-04
 93   2.06e-06   1.26e-06   8.73e-05   3.57e-04
 94   1.94e-06   1.18e-06   8.64e-05   3.69e-04
 95   2.14e-06   1.31e-06   9.19e-05   3.57e-04
 96   2.12e-06   1.20e-06   8.93e-05   3.48e-04
 97   2.24e-06   1.41e-06   8.86e-05   3.12e-04
 98   2.32e-06   1.33e-06   8.28e-05   3.03e-04
 99   2.49e-06   1.48e-06   9.22e-05   3.05e-04
100   2.52e-06   1.72e-06   8.71e-05   3.12e-04
101   2.43e-06   1.54e-06   8.67e-05   2.98e-04
102   2.43e-06   1.64e-06   8.19e-05   3.03e-04
103   2.72e-06   1.89e-06   9.10e-05   2.83e-04
104   2.64e-06   1.86e-06   9.22e-05   3.22e-04
105   2.91e-06   2.04e-06   9.28e-05   3.11e-04
106   2.80e-06   1.94e-06   8.95e-05   3.15e-04
107   2.91e-06   2.10e-06   8.72e-05   3.91e-04
108   2.94e-06   2.19e-06   9.87e-05   3.65e-04
109   2.96e-06   2.31e-06   9.64e-05   3.60e-04
110   3.04e-06   2.43e-06   8.90e-05   3.60e-04
111   3.19e-06   2.54e-06   9.18e-05   3.66e-04
112   3.38e-06   2.72e-06   9.72e-05   3.31e-04
113   3.52e-06   3.00e-06   1.01e-04   3.54e-04
114   3.62e-06   3.20e-06   1.04e-04   3.76e-04
115   3.70e-06   3.19e-06   1.03e-04   3.51e-04
116   3.67e-06   3.16e-06   9.73e-05   3.28e-04
117   3.54e-06   3.17e-06   9.03e-05   3.47e-04
118   3.60e-06   2.93e-06   9.35e-05   3.43e-04
119   3.80e-06   3.17e-06   8.76e-05   3.46e-04
120   3.84e-06   3.08e-06   8.55e-05   3.69e-04
121   4.05e-06   3.45e-06   9.57e-05   3.64e-04
122   4.27e-06   3.42e-06   1.01e-04   3.47e-04
123   4.16e-06   3.42e-06   9.14e-05   3.90e-04
124   4.39e-06   3.77e-06   1.05e-04   3.26e-04
125   4.64e-06   4.14e-06   1.05e-04   3.72e-04
126   4.65e-06   3.95e-06   1.06e-04   3.73e-04
127   4.77e-06   4.00e-06   1.00e-04   3.88e-04
128   4.80e-06   4.14e-06   9.39e-05   4.10e-04
129   4.73e-06   4.14e-06   9.40e-05   4.10e-04
130   5.16e-06   4.52e-06   1.00e-04   3.55e-04
131   5.12e-06   4.76e-06   1.05e-04   3.58e-04
132   5.66e-06   5.18e-06   1.04e-04   3.98e-04
133   5.62e-06   5.32e-06   1.00e-04   3.65e-04
134   5.90e-06   5.88e-06   9.86e-05   3.67e-04
