# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin8_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #8 (ell~283.1)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   1.40e-09   -1.92e-10   1.38e-09   1.25e-09
  3   2.75e-09   -1.85e-10   2.33e-09   1.43e-09
  4   4.11e-09   -3.13e-10   3.65e-09   1.20e-09
  5   4.54e-09   -8.42e-10   7.79e-09   1.28e-09
  6   5.93e-09   -9.74e-10   2.03e-08   1.69e-09
  7   6.77e-09   -1.39e-09   5.54e-08   2.03e-09
  8   8.20e-09   -1.71e-09   1.06e-07   2.56e-09
  9   7.95e-09   -2.35e-09   1.61e-07   3.33e-09
 10   1.29e-08   -4.31e-09   3.67e-07   8.22e-09
 11   1.41e-08   -6.26e-09   6.87e-07   2.20e-08
 12   2.52e-08   -9.82e-09   8.47e-07   5.67e-08
 13   3.07e-08   -1.45e-08   1.45e-06   1.30e-07
 14   3.42e-08   -1.92e-08   2.30e-06   2.67e-07
 15   4.62e-08   -2.18e-08   2.94e-06   4.61e-07
 16   6.38e-08   -2.94e-08   5.10e-06   7.01e-07
 17   7.23e-08   -3.48e-08   6.81e-06   1.28e-06
 18   7.75e-08   -3.74e-08   8.02e-06   2.38e-06
 19   7.88e-08   -3.58e-08   8.45e-06   4.74e-06
 20   8.60e-08   -3.89e-08   1.18e-05   7.61e-06
 21   1.00e-07   -4.82e-08   1.83e-05   8.25e-06
 22   9.39e-08   -3.61e-08   1.79e-05   9.36e-06
 23   9.73e-08   -2.60e-08   2.36e-05   1.78e-05
 24   1.11e-07   -6.23e-08   2.85e-05   2.11e-05
 25   9.60e-08   -3.09e-08   3.27e-05   3.26e-05
 26   1.05e-07   -2.34e-08   4.10e-05   3.79e-05
 27   1.22e-07   -2.59e-08   5.43e-05   5.40e-05
 28   1.07e-07   -8.29e-09   4.38e-05   6.68e-05
 29   1.18e-07   -3.02e-09   4.88e-05   6.09e-05
 30   1.15e-07   -1.29e-08   5.97e-05   8.91e-05
 31   1.14e-07   1.37e-08   6.20e-05   9.58e-05
 32   1.22e-07   2.46e-08   6.15e-05   1.21e-04
 33   1.24e-07   5.57e-08   7.93e-05   1.35e-04
 34   1.07e-07   3.48e-08   6.29e-05   1.55e-04
 35   1.23e-07   7.56e-08   6.83e-05   1.78e-04
 36   1.30e-07   6.80e-08   8.95e-05   1.84e-04
 37   1.18e-07   3.75e-08   7.07e-05   1.61e-04
 38   1.39e-07   5.89e-08   9.92e-05   2.34e-04
 39   1.24e-07   4.08e-08   8.60e-05   2.12e-04
 40   1.36e-07   8.08e-08   9.83e-05   2.45e-04
