# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin1_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #1 (ell~ 45.1)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   1.72e-10   4.71e-11   2.01e-09   1.92e-10
  3   2.98e-09   2.15e-09   4.81e-08   1.84e-10
  4   1.96e-08   1.72e-08   2.34e-07   2.64e-10
  5   8.46e-08   8.85e-08   9.22e-07   9.02e-10
  6   3.72e-07   3.79e-07   2.92e-06   5.27e-09
  7   1.33e-06   1.39e-06   8.03e-06   1.72e-08
  8   3.26e-06   3.29e-06   1.60e-05   7.80e-08
  9   5.73e-06   6.07e-06   2.56e-05   1.75e-07
 10   1.90e-05   1.88e-05   6.08e-05   6.93e-07
 11   3.83e-05   4.11e-05   1.19e-04   2.22e-06
 12   7.39e-05   6.71e-05   1.49e-04   6.28e-06
 13   1.41e-04   1.32e-04   2.56e-04   1.56e-05
 14   2.19e-04   2.19e-04   4.14e-04   3.02e-05
 15   3.30e-04   3.11e-04   5.35e-04   5.01e-05
 16   6.26e-04   6.02e-04   9.48e-04   8.24e-05
 17   8.69e-04   8.11e-04   1.20e-03   1.27e-04
 18   1.20e-03   1.15e-03   1.60e-03   2.41e-04
 19   1.33e-03   1.27e-03   1.68e-03   4.84e-04
 20   1.93e-03   1.83e-03   2.29e-03   7.63e-04
 21   3.20e-03   3.04e-03   3.68e-03   9.14e-04
 22   3.28e-03   3.14e-03   3.73e-03   1.03e-03
 23   3.97e-03   3.88e-03   4.73e-03   1.74e-03
 24   5.43e-03   5.32e-03   6.13e-03   2.17e-03
 25   5.81e-03   5.80e-03   6.42e-03   3.22e-03
 26   7.77e-03   7.81e-03   8.72e-03   4.10e-03
 27   9.65e-03   9.49e-03   1.02e-02   5.36e-03
 28   9.73e-03   9.83e-03   1.08e-02   7.13e-03
 29   1.24e-02   1.22e-02   1.29e-02   6.67e-03
 30   1.29e-02   1.24e-02   1.27e-02   1.05e-02
 31   1.43e-02   1.45e-02   1.54e-02   1.02e-02
 32   1.74e-02   1.69e-02   1.73e-02   1.51e-02
 33   2.07e-02   2.15e-02   2.25e-02   1.68e-02
 34   1.73e-02   1.78e-02   1.89e-02   1.82e-02
 35   2.06e-02   2.14e-02   2.26e-02   2.16e-02
 36   2.43e-02   2.57e-02   2.72e-02   2.39e-02
 37   2.25e-02   2.33e-02   2.43e-02   2.39e-02
 38   3.19e-02   3.33e-02   3.43e-02   3.03e-02
 39   2.76e-02   2.88e-02   2.97e-02   2.93e-02
 40   3.35e-02   3.48e-02   3.57e-02   3.28e-02
 41   3.38e-02   3.49e-02   3.55e-02   3.65e-02
 42   3.19e-02   3.33e-02   3.42e-02   3.43e-02
 43   3.74e-02   3.93e-02   4.01e-02   3.91e-02
 44   3.96e-02   4.00e-02   3.97e-02   4.06e-02
 45   4.14e-02   4.23e-02   4.23e-02   4.37e-02
 46   4.33e-02   4.52e-02   4.57e-02   4.74e-02
 47   4.42e-02   4.52e-02   4.48e-02   5.48e-02
 48   4.32e-02   4.29e-02   4.13e-02   3.79e-02
 49   4.03e-02   3.98e-02   3.83e-02   3.97e-02
 50   3.70e-02   3.69e-02   3.58e-02   4.75e-02
 51   3.48e-02   3.45e-02   3.33e-02   4.44e-02
 52   3.36e-02   3.30e-02   3.15e-02   3.26e-02
 53   3.32e-02   3.25e-02   3.08e-02   3.05e-02
 54   3.21e-02   3.09e-02   2.89e-02   3.20e-02
 55   2.41e-02   2.33e-02   2.19e-02   2.56e-02
 56   2.32e-02   2.21e-02   2.05e-02   2.76e-02
 57   1.74e-02   1.68e-02   1.60e-02   2.09e-02
 58   2.05e-02   1.93e-02   1.76e-02   1.76e-02
 59   1.38e-02   1.30e-02   1.21e-02   1.46e-02
 60   1.38e-02   1.27e-02   1.15e-02   1.20e-02
 61   1.12e-02   1.03e-02   9.28e-03   8.54e-03
 62   6.97e-03   6.45e-03   5.91e-03   7.87e-03
 63   5.61e-03   5.11e-03   4.65e-03   6.47e-03
 64   5.17e-03   4.64e-03   4.16e-03   4.84e-03
 65   4.36e-03   3.88e-03   3.45e-03   3.95e-03
 66   3.39e-03   2.98e-03   2.64e-03   3.01e-03
 67   2.57e-03   2.22e-03   1.95e-03   2.34e-03
 68   1.94e-03   1.64e-03   1.41e-03   2.08e-03
 69   1.48e-03   1.23e-03   1.04e-03   1.41e-03
 70   1.23e-03   1.00e-03   8.47e-04   1.23e-03
 71   1.12e-03   9.02e-04   7.51e-04   9.33e-04
 72   8.00e-04   6.33e-04   5.28e-04   8.31e-04
 73   6.88e-04   5.59e-04   4.79e-04   7.26e-04
 74   5.77e-04   4.71e-04   4.12e-04   6.75e-04
 75   5.19e-04   4.18e-04   3.58e-04   5.99e-04
 76   4.24e-04   3.34e-04   2.85e-04   5.44e-04
 77   3.77e-04   3.01e-04   2.61e-04   5.18e-04
 78   3.00e-04   2.45e-04   2.20e-04   4.54e-04
 79   2.64e-04   2.13e-04   1.94e-04   4.27e-04
 80   2.30e-04   1.91e-04   1.80e-04   3.90e-04
 81   1.98e-04   1.66e-04   1.58e-04   4.07e-04
 82   1.97e-04   1.64e-04   1.58e-04   3.38e-04
 83   1.46e-04   1.27e-04   1.29e-04   3.33e-04
 84   1.19e-04   1.01e-04   1.04e-04   3.20e-04
 85   9.56e-05   8.61e-05   9.55e-05   2.49e-04
 86   9.43e-05   8.44e-05   9.41e-05   2.40e-04
 87   7.40e-05   6.49e-05   7.53e-05   2.20e-04
 88   5.91e-05   5.40e-05   6.79e-05   1.98e-04
 89   4.75e-05   4.23e-05   5.57e-05   1.62e-04
 90   4.20e-05   3.72e-05   5.19e-05   1.42e-04
 91   2.72e-05   2.56e-05   3.93e-05   1.31e-04
 92   2.51e-05   2.20e-05   3.38e-05   1.17e-04
 93   2.02e-05   1.72e-05   2.86e-05   9.55e-05
 94   1.49e-05   1.23e-05   2.29e-05   9.74e-05
 95   1.30e-05   1.05e-05   2.15e-05   8.31e-05
 96   9.25e-06   7.41e-06   1.72e-05   7.30e-05
 97   7.22e-06   5.34e-06   1.38e-05   6.19e-05
 98   6.29e-06   4.26e-06   1.35e-05   5.62e-05
 99   5.51e-06   3.63e-06   1.40e-05   5.29e-05
100   4.73e-06   2.91e-06   1.14e-05   5.21e-05
101   3.64e-06   1.84e-06   1.05e-05   4.47e-05
102   3.18e-06   1.47e-06   9.66e-06   4.48e-05
103   2.91e-06   1.50e-06   9.83e-06   3.98e-05
104   2.25e-06   1.15e-06   9.03e-06   3.83e-05
105   2.10e-06   9.69e-07   9.88e-06   4.10e-05
106   1.94e-06   5.37e-07   9.00e-06   3.86e-05
107   1.75e-06   5.49e-07   8.95e-06   4.42e-05
108   1.42e-06   3.96e-07   1.03e-05   4.31e-05
109   1.25e-06   3.71e-07   9.30e-06   3.75e-05
110   1.19e-06   3.67e-07   8.17e-06   3.88e-05
111   1.17e-06   2.08e-07   8.99e-06   4.32e-05
112   1.22e-06   1.34e-07   9.00e-06   3.62e-05
113   1.15e-06   4.59e-08   1.06e-05   3.79e-05
114   1.04e-06   -6.61e-09   1.19e-05   3.89e-05
115   1.02e-06   4.64e-08   1.06e-05   3.76e-05
116   9.38e-07   6.21e-08   9.31e-06   3.62e-05
117   7.53e-07   -3.52e-08   9.93e-06   4.15e-05
118   8.62e-07   -2.24e-08   8.37e-06   3.79e-05
119   6.62e-07   -8.91e-08   9.22e-06   4.03e-05
120   6.45e-07   -3.77e-08   8.66e-06   4.09e-05
121   6.15e-07   -7.14e-08   9.96e-06   4.03e-05
122   6.40e-07   -1.88e-08   1.04e-05   3.68e-05
123   6.50e-07   -7.62e-08   9.96e-06   4.06e-05
124   5.30e-07   -4.30e-08   1.10e-05   3.10e-05
125   5.21e-07   -2.64e-08   9.67e-06   3.90e-05
126   4.75e-07   -9.07e-08   1.20e-05   3.90e-05
127   4.70e-07   -1.48e-07   1.16e-05   3.91e-05
128   4.60e-07   -1.33e-07   9.10e-06   3.85e-05
129   4.20e-07   -7.28e-08   8.04e-06   3.80e-05
130   4.85e-07   -1.47e-07   8.82e-06   3.24e-05
131   3.97e-07   -1.03e-07   9.19e-06   3.00e-05
132   3.98e-07   -9.90e-08   8.95e-06   3.27e-05
133   4.06e-07   -1.81e-07   8.95e-06   3.33e-05
134   4.03e-07   -4.26e-08   8.09e-06   3.13e-05
135   4.03e-07   2.70e-08   7.95e-06   3.26e-05
136   3.39e-07   -6.85e-08   8.67e-06   3.26e-05
137   3.42e-07   -8.16e-08   7.60e-06   3.47e-05
138   3.54e-07   -1.14e-07   7.51e-06   3.36e-05
139   3.37e-07   -3.80e-08   8.21e-06   2.85e-05
140   3.61e-07   -9.73e-08   7.26e-06   3.19e-05
141   3.30e-07   -7.79e-08   6.97e-06   2.69e-05
142   3.16e-07   2.12e-08   8.12e-06   2.76e-05
143   2.98e-07   -6.42e-08   8.26e-06   2.39e-05
144   2.54e-07   -2.99e-08   6.45e-06   2.60e-05
145   2.65e-07   5.62e-08   6.79e-06   2.46e-05
146   2.33e-07   -5.47e-08   5.98e-06   2.57e-05
147   2.40e-07   -1.89e-09   6.09e-06   2.24e-05
148   2.14e-07   -1.72e-08   5.07e-06   2.24e-05
149   1.93e-07   -4.18e-08   5.65e-06   1.97e-05
150   2.27e-07   -5.69e-08   5.30e-06   2.30e-05
151   1.72e-07   1.29e-08   4.91e-06   2.53e-05
152   1.71e-07   -8.49e-09   5.01e-06   1.98e-05
153   1.75e-07   -3.68e-09   4.82e-06   2.00e-05
154   1.39e-07   -4.40e-08   5.37e-06   1.90e-05
155   1.44e-07   -3.73e-09   4.50e-06   1.63e-05
156   1.20e-07   -3.60e-10   4.58e-06   1.68e-05
157   1.35e-07   -3.40e-08   4.33e-06   1.80e-05
158   1.15e-07   2.64e-08   4.49e-06   1.77e-05
159   1.10e-07   3.45e-09   4.90e-06   1.65e-05
160   1.14e-07   1.40e-08   3.86e-06   1.41e-05
161   9.12e-08   2.08e-08   4.53e-06   1.37e-05
162   8.03e-08   3.29e-09   4.65e-06   1.34e-05
163   7.78e-08   2.06e-08   3.67e-06   1.31e-05
164   7.91e-08   9.34e-09   3.43e-06   1.32e-05
