# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin5_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #5 (ell~179.1)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   2.40e-10   -4.27e-11   2.22e-10   2.18e-10
  3   4.65e-10   -7.07e-11   6.52e-10   2.65e-10
  4   7.06e-10   -1.63e-10   2.22e-09   2.57e-10
  5   8.75e-10   -2.78e-10   6.95e-09   3.16e-10
  6   1.28e-09   -7.17e-10   2.16e-08   5.41e-10
  7   2.06e-09   -2.06e-09   6.24e-08   7.98e-10
  8   3.19e-09   -3.40e-09   1.19e-07   1.47e-09
  9   4.01e-09   -4.69e-09   1.78e-07   2.49e-09
 10   9.51e-09   -1.10e-08   4.12e-07   7.56e-09
 11   1.42e-08   -1.86e-08   7.66e-07   2.25e-08
 12   2.68e-08   -3.01e-08   9.48e-07   6.05e-08
 13   4.21e-08   -4.86e-08   1.61e-06   1.44e-07
 14   5.40e-08   -6.62e-08   2.40e-06   2.83e-07
 15   6.74e-08   -8.35e-08   2.94e-06   4.86e-07
 16   1.21e-07   -1.38e-07   5.21e-06   7.44e-07
 17   1.39e-07   -1.57e-07   6.72e-06   1.32e-06
 18   1.67e-07   -1.86e-07   8.14e-06   2.46e-06
 19   1.73e-07   -1.79e-07   8.40e-06   4.98e-06
 20   2.06e-07   -2.24e-07   1.14e-05   7.90e-06
 21   2.86e-07   -3.49e-07   1.79e-05   8.58e-06
 22   2.78e-07   -3.15e-07   1.76e-05   9.81e-06
 23   3.20e-07   -3.17e-07   2.25e-05   1.85e-05
 24   3.87e-07   -3.96e-07   2.75e-05   2.22e-05
 25   3.57e-07   -3.75e-07   3.26e-05   3.47e-05
 26   4.48e-07   -4.75e-07   4.15e-05   4.09e-05
 27   5.23e-07   -4.83e-07   5.42e-05   5.92e-05
 28   5.10e-07   -4.25e-07   4.54e-05   7.42e-05
 29   5.63e-07   -4.12e-07   5.32e-05   6.79e-05
 30   5.46e-07   -4.22e-07   6.62e-05   1.03e-04
 31   5.91e-07   -3.46e-07   6.65e-05   1.13e-04
 32   6.29e-07   -3.94e-07   7.09e-05   1.47e-04
 33   7.43e-07   -6.08e-07   9.33e-05   1.64e-04
 34   6.68e-07   -5.50e-07   7.55e-05   1.89e-04
 35   7.90e-07   -4.25e-07   7.86e-05   2.22e-04
 36   9.27e-07   -7.28e-07   1.07e-04   2.39e-04
 37   8.28e-07   -6.29e-07   8.52e-05   1.89e-04
 38   9.86e-07   -5.72e-07   1.24e-04   2.98e-04
 39   8.66e-07   -5.95e-07   1.07e-04   2.53e-04
 40   1.04e-06   -5.26e-07   1.26e-04   3.00e-04
 41   9.30e-07   -4.44e-07   1.23e-04   2.84e-04
 42   1.08e-06   -4.27e-07   1.18e-04   2.73e-04
 43   1.20e-06   -3.43e-07   1.25e-04   3.38e-04
 44   1.20e-06   -3.13e-07   1.38e-04   3.04e-04
 45   1.30e-06   -2.87e-07   1.36e-04   3.18e-04
 46   1.42e-06   -2.25e-07   1.31e-04   3.61e-04
 47   1.42e-06   -1.30e-07   1.40e-04   3.91e-04
 48   1.40e-06   -8.45e-08   1.50e-04   3.01e-04
 49   1.48e-06   -1.43e-07   1.46e-04   3.27e-04
 50   1.56e-06   -1.69e-07   1.34e-04   3.31e-04
 51   1.54e-06   -5.07e-08   1.27e-04   3.46e-04
 52   1.58e-06   3.02e-08   1.32e-04   3.01e-04
 53   1.82e-06   -1.15e-07   1.43e-04   3.10e-04
 54   1.91e-06   -2.14e-07   1.27e-04   3.44e-04
 55   1.81e-06   2.11e-07   1.19e-04   3.21e-04
 56   1.96e-06   4.86e-08   1.30e-04   4.00e-04
 57   2.18e-06   1.53e-07   1.25e-04   3.28e-04
 58   2.20e-06   2.95e-07   1.27e-04   3.53e-04
 59   2.17e-06   2.12e-07   1.36e-04   3.24e-04
 60   2.24e-06   5.87e-07   1.38e-04   3.65e-04
 61   2.29e-06   6.11e-07   1.29e-04   3.25e-04
