# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin4_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #4 (ell~144.2)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   1.28e-10   -3.13e-11   8.27e-11   9.52e-11
  3   2.45e-10   -5.67e-11   3.74e-10   1.28e-10
  4   3.71e-10   -1.20e-10   1.76e-09   1.39e-10
  5   5.35e-10   -2.48e-10   6.02e-09   1.94e-10
  6   8.96e-10   -7.60e-10   2.00e-08   3.96e-10
  7   1.93e-09   -2.06e-09   6.11e-08   6.80e-10
  8   3.57e-09   -3.44e-09   1.16e-07   1.59e-09
  9   5.20e-09   -5.06e-09   1.84e-07   2.90e-09
 10   1.33e-08   -1.17e-08   4.16e-07   9.85e-09
 11   2.38e-08   -2.04e-08   8.08e-07   2.88e-08
 12   3.86e-08   -2.82e-08   9.92e-07   7.66e-08
 13   6.84e-08   -5.17e-08   1.81e-06   1.83e-07
 14   1.02e-07   -7.99e-08   2.88e-06   3.61e-07
 15   1.26e-07   -9.91e-08   3.49e-06   5.90e-07
 16   2.31e-07   -1.47e-07   6.21e-06   9.32e-07
 17   2.60e-07   -1.66e-07   7.93e-06   1.43e-06
 18   3.42e-07   -1.97e-07   9.89e-06   2.55e-06
 19   3.69e-07   -1.76e-07   9.94e-06   5.39e-06
 20   4.45e-07   -2.14e-07   1.34e-05   8.15e-06
 21   6.28e-07   -3.68e-07   2.15e-05   8.99e-06
 22   6.46e-07   -3.83e-07   2.03e-05   1.03e-05
 23   7.83e-07   -4.14e-07   2.48e-05   1.89e-05
 24   9.60e-07   -5.67e-07   2.92e-05   2.27e-05
 25   8.73e-07   -4.58e-07   3.39e-05   3.57e-05
 26   1.14e-06   -6.75e-07   4.02e-05   4.04e-05
 27   1.39e-06   -7.81e-07   5.18e-05   5.78e-05
 28   1.31e-06   -7.82e-07   3.98e-05   7.00e-05
 29   1.52e-06   -8.53e-07   4.49e-05   6.08e-05
 30   1.54e-06   -8.99e-07   5.78e-05   9.00e-05
 31   1.60e-06   -7.33e-07   5.74e-05   9.73e-05
 32   1.85e-06   -7.80e-07   6.10e-05   1.27e-04
 33   2.01e-06   -9.25e-07   7.41e-05   1.41e-04
 34   1.88e-06   -7.80e-07   6.18e-05   1.60e-04
 35   2.23e-06   -7.16e-07   6.66e-05   1.93e-04
 36   2.55e-06   -7.89e-07   8.93e-05   1.93e-04
 37   2.36e-06   -7.27e-07   7.24e-05   1.72e-04
 38   2.84e-06   -7.42e-07   1.05e-04   2.50e-04
 39   2.44e-06   -6.89e-07   8.94e-05   2.21e-04
 40   2.96e-06   -1.28e-06   1.05e-04   2.71e-04
 41   2.56e-06   -7.63e-07   1.11e-04   2.59e-04
 42   3.01e-06   -1.02e-06   1.10e-04   2.60e-04
 43   3.30e-06   -1.41e-06   1.23e-04   3.32e-04
