# BICEP2 2014 Data Release
# The BICEP2 Collaboration, BICEP2 2014 I: DETECTION OF B-mode POLARIZATION AT DEGREE ANGULAR SCALES
# http://bicepkeck.org/bicep2_2014_release/
#
# File: B2_3yr_bpwf_bin3_20140314.txt 
# Date: 2014-03-14 
# 
# BICEP2 bandpower window functions for bin #3 (ell~109.1)
# See Section 6.3 of BICEP2 2014 I.
# 
# Columns: ell   TT->TT     TE->TE     EE->EE     BB->BB 
  2   7.99e-11   -2.20e-11   5.44e-11   6.61e-11
  3   1.62e-10   -5.52e-11   3.83e-10   8.85e-11
  4   3.13e-10   -2.05e-10   2.03e-09   1.08e-10
  5   5.96e-10   -5.10e-10   6.60e-09   1.81e-10
  6   1.65e-09   -1.64e-09   2.04e-08   4.47e-10
  7   4.94e-09   -5.38e-09   5.74e-08   7.88e-10
  8   9.85e-09   -9.07e-09   1.03e-07   1.98e-09
  9   1.42e-08   -1.36e-08   1.52e-07   3.33e-09
 10   3.87e-08   -3.37e-08   3.45e-07   1.09e-08
 11   6.47e-08   -6.19e-08   6.24e-07   3.05e-08
 12   1.12e-07   -8.42e-08   7.68e-07   8.16e-08
 13   1.84e-07   -1.40e-07   1.23e-06   1.98e-07
 14   2.43e-07   -1.96e-07   1.76e-06   3.34e-07
 15   3.04e-07   -2.33e-07   2.21e-06   5.29e-07
 16   5.28e-07   -3.86e-07   3.84e-06   8.60e-07
 17   6.16e-07   -4.37e-07   4.68e-06   1.23e-06
 18   7.46e-07   -5.45e-07   5.65e-06   2.28e-06
 19   7.77e-07   -4.75e-07   5.94e-06   4.53e-06
 20   9.50e-07   -5.53e-07   7.73e-06   6.70e-06
 21   1.35e-06   -9.39e-07   1.14e-05   7.50e-06
 22   1.36e-06   -8.92e-07   1.13e-05   8.54e-06
 23   1.63e-06   -9.93e-07   1.44e-05   1.35e-05
 24   2.02e-06   -1.07e-06   1.70e-05   1.60e-05
 25   1.84e-06   -9.46e-07   1.88e-05   2.37e-05
 26   2.48e-06   -1.22e-06   2.39e-05   2.76e-05
 27   2.92e-06   -1.30e-06   2.94e-05   3.62e-05
 28   2.95e-06   -1.14e-06   2.58e-05   4.62e-05
 29   3.37e-06   -1.34e-06   3.00e-05   4.27e-05
 30   3.28e-06   -1.30e-06   3.44e-05   6.32e-05
 31   3.56e-06   -9.66e-07   3.55e-05   6.17e-05
 32   3.96e-06   -1.09e-06   3.99e-05   8.42e-05
 33   4.49e-06   -1.18e-06   4.63e-05   9.66e-05
